"Country","geometry"
"Cuba",c(-82.3666, 23.1136)
"Grenada",c(-61.679, 12.8)
"Benin",c(2.3158, 9.3077)
"Congo",c(15.8277, -0.228)
"Somalia",c(46.1996, 5.1521)
"Ethiopia",c(40.4897, 9.145)
"Angola",c(17.8739, -11.2027)
"Mozambique",c(37.5, -13.8)
"Madagascar",c(46.8691, -18.7669)
"Seychelles",c(55.492, -4.6796)
"Sao Tome",c(-6.6131, 0.1864)
"Afghanistan",c(67.709953, 33.93911)
"Albania",c(20.168331, 41.153332)
"Armenia",c(45.038189, 40.069099)
"Azerbaijan",c(47.576927, 40.143105)
"Bulgaria",c(25.48583, 42.733883)
"Belarus",c(27.953389, 53.709807)
"Congo - Brazzaville",c(15.827659, -0.228021)
"China",c(104.195397, 35.86166)
"Czechia",c(15.472962, 49.817492)
"Estonia",c(25.013607, 58.595272)
"Georgia",c(43.356892, 42.315407)
"Guyana",c(-58.93018, 4.860416)
"Croatia",c(15.2, 45.1)
"Hungary",c(19.503304, 47.162494)
"Kyrgyzstan",c(74.766098, 41.20438)
"Cambodia",c(104.990963, 12.565679)
"North Korea",c(127.510093, 40.339852)
"Kazakhstan",c(66.923684, 48.019573)
"Laos",c(102.495496, 19.85627)
"Lithuania",c(23.881275, 55.169438)
"Latvia",c(24.603189, 56.879635)
"Moldova",c(28.369885, 47.411631)
"Mongolia",c(103.846656, 46.862496)
"Poland",c(19.145136, 51.919438)
"Romania",c(24.96676, 45.943161)
"Serbia",c(21.005859, 44.016521)
"Russia",c(105.318756, 61.52401)
"Slovenia",c(14.995463, 46.151241)
"Slovakia",c(19.699024, 48.669026)
"São Tomé & Príncipe",c(6.613081, 0.18636)
"Tajikistan",c(71.276093, 38.861034)
"Turkmenistan",c(59.556278, 38.969719)
"Ukraine",c(31.16558, 48.379433)
"Uzbekistan",c(64.585262, 41.377491)
